A T phi m0
1.564522690603076249e+00 1.008247924636332584e+02 1.042932240593914983e+00 1.510612749048183012e+01
1.634869612413633932e+00 9.999748798217106582e+01 1.020011276035353243e+00 1.497455778176161800e+01
1.606403511309235643e+00 1.002341115040061936e+02 9.873480420116446110e-01 1.506873488646355952e+01
1.684675626640535606e+00 1.002938454407052546e+02 1.066676224760149783e+00 1.512715171348482990e+01
1.513192086967241501e+00 1.001878477613862657e+02 1.079633207509023141e+00 1.508407875033620549e+01
1.584957807659246765e+00 1.011382454027656905e+02 1.133279363866834588e+00 1.505499578142933359e+01
1.559182971475358448e+00 1.007738464676512820e+02 1.031400671013586789e+00 1.500511492844874795e+01
1.458862068463032013e+00 9.912015617860241434e+01 8.301936804460885444e-01 1.508431321340817277e+01
1.708930148277398198e+00 9.966105811821388727e+01 9.629436034137236478e-01 1.499091639893915762e+01
1.445272150826044655e+00 1.005335433502567213e+02 1.054072747842948132e+00 1.509318487391210439e+01
1.643239884732558664e+00 9.959910980712670892e+01 9.567003943947803846e-01 1.503088927940934738e+01
1.585704354150635931e+00 1.000366781013492101e+02 9.604928838019631820e-01 1.505587364116393623e+01
1.331066975665204932e+00 1.013068119064352146e+02 1.084889217873014733e+00 1.514731916410989676e+01
1.602434414583373101e+00 1.006811459105047675e+02 1.086572976644041510e+00 1.500624067603146017e+01
1.508292474696184549e+00 1.004920907440366022e+02 1.089988376498373768e+00 1.505186096319730105e+01
1.407593004906077416e+00 1.012338041048402033e+02 1.128201711356844106e+00 1.511668430072167979e+01
1.453544373115486898e+00 1.010364542437896347e+02 1.099059060824281842e+00 1.498178422185762493e+01
1.471918666285415123e+00 9.974138666214514615e+01 9.370410074613854112e-01 1.514987840513036943e+01
1.600900589292158616e+00 1.011585830990677408e+02 1.168023045301239016e+00 1.503540940873703136e+01
1.455704663979221269e+00 1.010910591712428754e+02 1.238639912382158093e+00 1.508133857087103280e+01
1.523101819122752332e+00 1.025985745807669360e+02 1.275378215512202873e+00 1.503215302536477260e+01
1.698044359604200970e+00 1.016344044057805576e+02 1.203566083041431423e+00 1.493379736944140035e+01
1.564105061241420902e+00 1.012113844456726213e+02 1.215766463225873784e+00 1.500213466405484120e+01
1.461599023092173155e+00 9.972332528529878459e+01 9.431788390282773715e-01 1.502717031874135856e+01
1.411418744838148109e+00 9.999961535796313683e+01 8.626422672076389242e-01 1.496219650772812138e+01
1.532839470084813582e+00 9.933807529977211459e+01 9.302015212899314989e-01 1.510075490440178392e+01
1.644202665111688333e+00 1.012642668394501015e+02 1.154207511805196207e+00 1.500151046448953807e+01
1.520908690877789571e+00 1.015227735870918622e+02 1.169639875034351739e+00 1.499091209903014033e+01
1.638996515229346418e+00 9.961666634736280912e+01 9.436425613914877220e-01 1.498326375742314198e+01
1.645339114932308444e+00 1.001938799807962823e+02 1.005349815588691964e+00 1.500725485718241892e+01
1.461143643984662788e+00 1.002893109214375613e+02 1.093002159033557019e+00 1.502948767340961389e+01
1.620753761539993842e+00 1.011214327989592334e+02 1.171609340217660389e+00 1.504160326058410035e+01
1.490914407178117962e+00 9.928536329854644293e+01 8.614512550887621911e-01 1.505155599720848869e+01
1.547237863819531878e+00 9.984299628385679171e+01 9.327462582048424711e-01 1.508540124631271873e+01
1.494178506260122941e+00 1.008328320737993664e+02 1.047667564173173194e+00 1.509772843831096978e+01
1.417780651164387340e+00 1.009302573501782092e+02 1.114035585964630704e+00 1.497924411742470241e+01
1.602146465960074817e+00 9.994057688510164894e+01 9.021976176772893430e-01 1.499760469727897494e+01
1.796873275811484927e+00 9.962685626154090812e+01 9.789858473397209382e-01 1.510729346916170712e+01
1.557794824708556014e+00 9.787113787177170821e+01 7.633268897658744834e-01 1.517336313289426286e+01
1.722462680608981334e+00 9.908748742442250546e+01 9.260704449876332456e-01 1.512183140303841711e+01
1.475380437538178047e+00 1.004984010532526355e+02 1.010900260308683185e+00 1.505465168597485714e+01
1.562305655827073148e+00 1.005557751323266729e+02 1.077696233682972959e+00 1.495833420537491598e+01
1.444673435169581577e+00 9.995706101772803720e+01 1.005395996830470651e+00 1.504353804882180334e+01
1.691421087035912763e+00 9.962316664471376271e+01 9.662087294848059615e-01 1.504316201330318847e+01
1.562305655827073148e+00 1.005557751323266729e+02 1.077696233682972959e+00 1.495833420537491598e+01
1.502569551673183179e+00 9.956446731724133770e+01 9.351913325827460044e-01 1.498469117643158910e+01
1.510553916886665959e+00 1.006045837186912593e+02 1.106587805003204084e+00 1.503463276950978056e+01
1.559223948483326794e+00 1.012301090535081727e+02 1.274433643841609287e+00 1.505737591995855240e+01
1.660332120458679395e+00 9.917028463176129094e+01 9.407352271268221156e-01 1.507183368188736239e+01
1.535435355032367832e+00 1.011515379211159456e+02 1.124845367990364720e+00 1.499909086901476662e+01
1.579335810365526171e+00 1.025231022316925618e+02 1.251394122357520899e+00 1.500488302074751346e+01
1.534279106477860921e+00 9.974632402475256754e+01 8.788946779888363592e-01 1.504578706258886100e+01
1.480581370372143990e+00 1.000293729751053036e+02 1.019816576353669069e+00 1.500107870993564418e+01
1.529863236651592739e+00 9.985480368799422024e+01 9.946204625078881589e-01 1.503246704548289259e+01
1.689593771213667939e+00 9.968543682230144043e+01 9.160038368600188496e-01 1.502821638993203912e+01
1.506204675457919473e+00 9.906594007139274538e+01 7.563257199450896806e-01 1.501705880095426160e+01
1.580752184957538331e+00 9.950362430904087319e+01 9.829214567524784396e-01 1.512002402050639205e+01
1.558822479829830687e+00 9.971287136909403159e+01 1.011186220800863511e+00 1.505211186423919045e+01
1.575150292832044219e+00 9.894280656885764813e+01 8.679726636588676048e-01 1.515945699140707781e+01
1.562443950396405379e+00 1.004050813303150420e+02 1.040657831973898384e+00 1.499323904922444939e+01
1.642295348737070837e+00 9.963396853001123077e+01 9.654241107607628436e-01 1.511153392618603064e+01
1.533867046879840323e+00 1.002356928471293998e+02 1.035507514606711199e+00 1.495149673404515056e+01
1.633335346566215485e+00 1.000874204148186664e+02 9.502856342909775655e-01 1.508229763548865243e+01
1.580702694385179408e+00 1.004047440905579407e+02 1.020752534722166649e+00 1.506463808106445335e+01
1.520303610608733536e+00 1.021983006469280326e+02 1.227038103258363710e+00 1.503174591357912604e+01
1.537449704732361866e+00 1.003221359784272124e+02 1.040278139312265537e+00 1.513367931044361292e+01
1.501300436612090561e+00 9.958603536966028003e+01 1.050664018459652294e+00 1.493837366207662676e+01
1.547003152601496900e+00 1.006144119610316494e+02 1.065875865367219788e+00 1.499424216146980626e+01
1.483259471428265641e+00 9.938037485376635516e+01 9.195380669245328820e-01 1.501159901143167730e+01
1.667228631706123565e+00 1.000606711736159724e+02 9.386473129036843055e-01 1.501341417468117001e+01
1.437767009135269447e+00 1.003861235527784288e+02 1.048295928704181756e+00 1.519203635274276465e+01
1.520879677539375363e+00 1.006332110384079073e+02 1.033653008957734043e+00 1.496520019165820514e+01
1.692273154808156210e+00 1.006314959770235333e+02 1.107887873742936291e+00 1.502344777352000804e+01
1.463617576773081908e+00 1.004588380183072900e+02 1.099599750023354305e+00 1.508993855397771711e+01
1.564107758886690736e+00 1.001482974265878170e+02 1.007522854757581854e+00 1.501715689517671848e+01
1.560285683271802393e+00 1.025047934033479464e+02 1.302468161781755063e+00 1.490597203060811538e+01
1.419710836959195976e+00 1.020835310396352753e+02 1.196713993567753542e+00 1.499474665399527140e+01
1.511809717970429734e+00 1.006593908141609006e+02 1.060806573036747302e+00 1.507231882207547002e+01
1.599776546392968513e+00 1.008323940136075834e+02 1.159050590776029788e+00 1.509539828575151432e+01
1.684074394237943473e+00 9.970494260949186582e+01 9.479314033067595124e-01 1.508357810288908496e+01
1.569103061810576127e+00 1.006014588519860951e+02 1.075008603540567265e+00 1.506885354363184604e+01
1.713882585974630723e+00 9.934264974847295093e+01 9.216812640433263981e-01 1.505462821667813422e+01
1.575771930440653446e+00 1.004918589116363847e+02 9.895186243790504710e-01 1.503168883358376817e+01
1.608001717628297023e+00 9.970811514421154698e+01 1.001413321993223970e+00 1.506670209882154055e+01
1.577409602913797393e+00 1.009300827346729506e+02 1.168050514499801906e+00 1.500473376675835624e+01
1.476285047762141645e+00 1.019284639196254290e+02 1.207807457565396980e+00 1.498008836546479117e+01
1.533867046879840323e+00 1.002356928471293998e+02 1.035507514606711199e+00 1.495149673404515056e+01
1.434403143663822933e+00 1.003113229354813711e+02 1.067544157540889049e+00 1.509213840200104428e+01
1.497148889936164018e+00 1.005450118467138765e+02 1.025440770487519471e+00 1.492059316139530623e+01
1.569291539431368232e+00 1.003858035512709108e+02 1.017924007397083885e+00 1.510874715226421472e+01
1.513655446257955894e+00 1.014107346415225805e+02 1.137190201058111194e+00 1.504040025769094058e+01
1.562681133241048625e+00 1.015968795080261344e+02 1.199038976762586861e+00 1.504888886808682358e+01
1.516178051216353628e+00 9.970491835888485355e+01 9.532835445933343088e-01 1.500007138482771651e+01
1.456289146594525352e+00 1.011746879678908755e+02 1.123084581294403250e+00 1.505140788795964291e+01
1.531582072383032678e+00 9.973073457753032756e+01 1.007428696868240658e+00 1.509293444858723454e+01
1.639684649176979203e+00 9.889979257590465522e+01 8.816101051534923627e-01 1.503948195184993253e+01
1.592175192822390173e+00 9.977825753867628578e+01 9.686838515307081288e-01 1.507239337533969525e+01
1.657389536289697096e+00 1.002455226106432207e+02 9.979428332745374775e-01 1.506348645310039380e+01
1.641289801868312637e+00 1.004450252527493745e+02 1.020075264840997642e+00 1.506361816621584460e+01
1.618655446082443383e+00 1.014157323622332854e+02 1.130906139084474793e+00 1.492716877438439838e+01
1.586275259749346578e+00 9.956942263162329709e+01 9.191016395052334920e-01 1.505193265750381570e+01
1.693572052127064964e+00 9.946494830773846729e+01 9.780475421587403462e-01 1.507393372598239090e+01
1.395952591183615699e+00 1.001153777417440836e+02 1.077525665165957491e+00 1.515128355650447212e+01
1.589713721802401558e+00 1.002128649172950077e+02 9.834528589651675423e-01 1.512798414863680030e+01
1.455721796589457995e+00 1.007294347016640046e+02 1.047985552730473779e+00 1.506820666291366351e+01
1.471774527901356322e+00 9.897790855038023494e+01 8.596469160487911765e-01 1.501826944753200443e+01
1.492254887030930455e+00 9.957439269543644400e+01 9.881530801760753935e-01 1.508227638321278974e+01
1.633452709032957806e+00 9.859753448968723433e+01 8.227518807457637751e-01 1.509637535617610204e+01
1.569149171895475980e+00 9.999757523632116829e+01 9.780310711379183175e-01 1.500499816279758036e+01
1.426081763664362789e+00 1.013083672808485289e+02 1.180718988143278025e+00 1.503030298341482229e+01
1.611662397225526178e+00 1.011869151509435483e+02 1.122746284941171346e+00 1.505502279369130036e+01
1.497629818677412405e+00 1.003063540777905160e+02 1.031705330699088208e+00 1.512121865606141569e+01
1.692273154808156210e+00 1.006314959770235333e+02 1.107887873742936291e+00 1.502344777352000804e+01
1.619567639828943140e+00 1.012895465011940956e+02 1.159154641075284209e+00 1.511372063973015933e+01
1.556048564619026298e+00 1.001055328854989170e+02 9.785366424094801285e-01 1.504605569905390894e+01
1.561275715805198194e+00 9.965029895208319033e+01 9.504905055160229876e-01 1.498221127226155680e+01
1.562681133241048625e+00 1.015968795080261344e+02 1.199038976762586861e+00 1.504888886808682358e+01
1.537459433299146916e+00 9.945120277255516328e+01 9.068075046936074912e-01 1.499443242634167284e+01
1.597998594575342546e+00 1.003384774204779717e+02 1.012603780998365011e+00 1.503822814611565306e+01
1.542275776745964722e+00 9.876635420694374545e+01 8.032800361592946636e-01 1.508304829572272610e+01
1.571140241075464017e+00 1.003368690198966107e+02 1.013809428917362032e+00 1.502178203308534066e+01
1.611086196928271708e+00 1.015217955940778012e+02 1.163919262678200228e+00 1.502704019476121289e+01
1.605990255635384445e+00 1.010248441832961817e+02 1.180258837941692951e+00 1.496422751524209360e+01
1.605876595850283195e+00 1.025168210082521369e+02 1.424921358201100441e+00 1.505671544527873706e+01
1.635404120821944751e+00 1.001752619356822436e+02 1.030347069258588322e+00 1.506824308237959897e+01
1.580448612197481673e+00 9.956370652280369882e+01 9.917899685408568811e-01 1.510042997471966508e+01
1.534279106477860921e+00 9.974632402475256754e+01 8.788946779888363592e-01 1.504578706258886100e+01
1.621982032548358044e+00 1.009395945730187378e+02 1.132936111442350180e+00 1.507674340965067294e+01
1.436495076485371669e+00 1.004456283228346507e+02 1.058128853572795292e+00 1.500009471533858729e+01
1.661578233082229072e+00 9.907917107326444750e+01 9.197124294618150842e-01 1.505844503869264095e+01
1.436495076485371669e+00 1.004456283228346507e+02 1.058128853572795292e+00 1.500009471533858729e+01
1.637248789251769532e+00 9.974596643968143894e+01 9.055159919045592254e-01 1.516084336951977640e+01
1.518770120447944905e+00 9.971498024666769311e+01 9.602703996351543703e-01 1.507124703561031787e+01
1.365712423135930775e+00 1.011718201540340374e+02 9.637469261384613572e-01 1.503583206373466652e+01
1.524938193593720293e+00 9.947295246794432444e+01 1.002542869521339863e+00 1.513886962691728755e+01
1.661225138725178407e+00 9.964280946969377339e+01 9.388162093984931955e-01 1.512839069917918167e+01
1.577409602913797393e+00 1.009300827346729506e+02 1.168050514499801906e+00 1.500473376675835624e+01
1.610534145043448495e+00 1.002548370108981572e+02 1.063385127577517464e+00 1.497883876181263219e+01
1.646483365214083339e+00 1.000933879912538345e+02 1.041119172532242176e+00 1.501396942164252124e+01
1.626997945041875226e+00 1.002461782317498660e+02 1.046411493756242317e+00 1.506336567022402306e+01
1.584044311814388095e+00 1.005680816857401538e+02 1.093594431380223497e+00 1.505759174665943512e+01
1.476285047762141645e+00 1.019284639196254290e+02 1.207807457565396980e+00 1.498008836546479117e+01
1.600818177171019485e+00 1.013347890724476059e+02 1.128669772411398320e+00 1.493022689932646330e+01
1.616455270120036536e+00 1.008116445990280994e+02 1.087411702776798883e+00 1.507386165527319477e+01
1.518398275666202890e+00 1.006745928271819679e+02 1.183265034452291475e+00 1.510667703276917884e+01
1.545130577374679515e+00 9.996064260356962450e+01 1.014496641212916828e+00 1.502757385659922740e+01
1.689469456159356398e+00 1.001370740200796661e+02 9.934294779925227914e-01 1.507125728732176384e+01
1.638599203477867805e+00 1.020179881273027149e+02 1.297067178712275393e+00 1.501457175541480638e+01
1.571524365564123116e+00 1.021453524879943018e+02 1.300926489970620770e+00 1.506086346572519830e+01
1.633671688320335269e+00 1.011992036375248603e+02 1.143482191342309440e+00 1.501278975913633928e+01
1.503498681059929787e+00 9.929081053051046979e+01 9.046918843690251455e-01 1.507221982804785476e+01
1.599794814101788143e+00 9.995084266462200162e+01 1.000036507926296725e+00 1.505599522740490315e+01
1.697379059897721421e+00 9.951552381511352507e+01 9.250161761090009982e-01 1.491945634226743067e+01
1.528422119680043822e+00 1.023276395169700947e+02 1.168339518936880594e+00 1.489940334571403469e+01
1.495841703461159078e+00 1.000020379111939377e+02 9.760658311884022886e-01 1.508599892818416599e+01
1.453008956514433292e+00 1.015002467358810350e+02 1.165193336821745529e+00 1.497976856768941900e+01
1.531273901350019173e+00 1.038078089193188731e+02 1.401661959632881205e+00 1.498936685029187466e+01
1.439462862618452910e+00 1.010346618618295338e+02 1.114356690554599183e+00 1.501515896930703953e+01
1.539109882235015991e+00 1.015313863211412411e+02 1.128219811420805296e+00 1.504037072983131296e+01
1.577409602913797393e+00 1.009300827346729506e+02 1.168050514499801906e+00 1.500473376675835624e+01
1.678805257467810730e+00 1.002767620876686578e+02 1.039514088379754897e+00 1.506913487572757404e+01
1.606519913347703721e+00 1.011355863164622662e+02 1.199451705673740820e+00 1.506905426903524869e+01
1.534095177275901722e+00 1.004397798023063046e+02 1.087500402185788584e+00 1.506447235058517364e+01
1.630447729758564446e+00 1.008439709034191054e+02 1.174122561268226228e+00 1.503034186738799427e+01
1.399830831241603013e+00 9.901414271862900307e+01 8.875712990464015295e-01 1.505107771913142756e+01
1.646281386939886016e+00 9.967795653133994449e+01 9.423336841224805305e-01 1.511131008991718616e+01
1.613836725865369637e+00 9.915476795370916818e+01 8.994235739841263122e-01 1.507418286394194595e+01
1.441549615213567392e+00 1.003607657556041630e+02 1.112075661298591145e+00 1.505588382314484441e+01
1.507906453124648438e+00 1.001577460814289537e+02 9.700533431393782990e-01 1.505440180908062686e+01
1.541936237800112020e+00 9.980777583454825219e+01 9.290003056533010506e-01 1.509050692083033596e+01
1.573730335435275851e+00 1.009204811971335971e+02 1.069243383029470973e+00 1.510423897432959706e+01
1.634741264866967914e+00 1.006243453490612865e+02 1.102581269813997178e+00 1.510552131022096134e+01
1.599681614125592066e+00 9.909400873763965478e+01 8.482801233282146747e-01 1.518482084299504287e+01
1.736516825621753801e+00 9.933271043066250172e+01 1.020256064640166827e+00 1.502282595065519644e+01
1.597301199940195149e+00 1.009837497388516425e+02 1.147992274217400244e+00 1.510269228688334309e+01
1.638805688925608184e+00 1.012909750177882984e+02 1.143521371488900762e+00 1.505996721822969242e+01
1.685349341351859209e+00 9.942157362397927045e+01 9.385521918241392925e-01 1.508091777665100608e+01
1.476589543214144484e+00 1.020828108542637409e+02 1.285674762887351052e+00 1.496991308898573259e+01
1.596076690831678135e+00 9.885920406906477353e+01 8.533937274423568642e-01 1.507936736049290438e+01
1.560049413640689941e+00 1.002446989733434606e+02 1.003733960647220425e+00 1.510333528947648851e+01
1.498324950088715468e+00 1.002068700914617807e+02 1.041220015958793210e+00 1.507811156981758316e+01
1.602146465960074817e+00 9.994057688510164894e+01 9.021976176772893430e-01 1.499760469727897494e+01
1.454302058861328684e+00 1.011528050810016737e+02 1.072964359432479586e+00 1.509128000903510447e+01
1.648727380948869836e+00 1.001334986409817134e+02 1.035555200805059473e+00 1.504504466396065610e+01
1.599776546392968513e+00 1.008323940136075834e+02 1.159050590776029788e+00 1.509539828575151432e+01
1.597769668818761257e+00 1.003745176871504441e+02 1.055967565500672611e+00 1.496163094207518540e+01
1.701637624767144530e+00 9.990698577491369292e+01 9.442013170343448447e-01 1.503040281831719938e+01
1.507857958560419931e+00 1.017066861080962354e+02 1.211007431690448222e+00 1.505444531045992917e+01
1.569631930182374902e+00 1.000455263459564890e+02 1.056721729691791456e+00 1.495891593136132158e+01
1.591296873373969412e+00 1.003577296255168818e+02 1.046844416680403844e+00 1.503939081673408573e+01
1.607135364397310751e+00 1.017265194817252052e+02 1.271322438212968198e+00 1.505501199866593964e+01
1.602146465960074817e+00 9.994057688510164894e+01 9.021976176772893430e-01 1.499760469727897494e+01
1.534933369255100599e+00 9.881751441620261289e+01 9.444865462580155357e-01 1.512316719163462331e+01
1.650398748844967400e+00 1.009210450457617156e+02 1.115986089543742787e+00 1.503738625568964515e+01
1.506785333812465488e+00 1.013996513074496590e+02 1.183719483569558140e+00 1.507547368186564718e+01
1.585371322861462762e+00 9.940688962033713949e+01 9.025043593064759895e-01 1.510196619334818280e+01
1.671407763514124678e+00 9.921284230382207170e+01 8.277347101287741982e-01 1.500372264492569485e+01
1.538380398998366427e+00 9.923986468522757320e+01 8.720008928584729313e-01 1.509944211284251736e+01
1.420780941509180550e+00 9.983262618373788655e+01 9.207583678844571962e-01 1.499781168684270938e+01
1.642131940703204007e+00 1.025383354435953294e+02 1.311508516925181667e+00 1.504040406650731043e+01
1.666592098776217057e+00 9.805447614510104870e+01 7.137111950680149475e-01 1.510670235173112985e+01
1.490141509243078088e+00 1.013288731856317497e+02 1.147327588671684495e+00 1.507002378998017811e+01
1.718652703479643939e+00 9.948741974183705850e+01 9.645861486538445106e-01 1.510937598244613511e+01
1.412876751251683105e+00 1.001987863571989124e+02 9.797438094023739330e-01 1.508603851160291320e+01
1.543122255878059734e+00 1.015721727936168861e+02 1.121805099080012358e+00 1.501179249531293891e+01
1.627053825477110305e+00 9.976943000954442198e+01 9.760697709895700402e-01 1.499131979596573672e+01
1.505669231812436282e+00 1.005296266173810835e+02 1.011979343240787754e+00 1.504959476038560950e+01
1.717679099232893414e+00 1.003499337961384441e+02 1.046371570073644230e+00 1.505833407516730205e+01
1.628915987104303520e+00 9.986189890316980211e+01 9.956493700660533630e-01 1.503655008368835944e+01
1.557589383119363458e+00 9.944863784204025592e+01 9.462731553879794033e-01 1.510396949625888929e+01
1.680973280086734523e+00 1.003083255740473021e+02 1.086573440281380698e+00 1.506396124710098228e+01
1.524286093520611285e+00 9.789674798974451164e+01 7.160505645795051111e-01 1.512582188898767299e+01
1.547660272659193481e+00 9.971872699931385853e+01 9.330851240935588153e-01 1.504318130696314171e+01
1.633954592096465985e+00 9.923570052277037234e+01 9.221200384216718948e-01 1.494512004702592023e+01
1.444673435169581577e+00 9.995706101772803720e+01 1.005395996830470651e+00 1.504353804882180334e+01
1.680558093049503210e+00 1.003624628821428217e+02 9.839099197755786230e-01 1.504249579040206442e+01
1.717083529758104188e+00 1.008335125492778559e+02 1.102995042497157074e+00 1.503053116436313097e+01
1.582734927970919525e+00 9.955106339616362732e+01 1.020656714910065821e+00 1.505932910556881232e+01
1.684296011736720278e+00 9.974832153737133922e+01 9.965170853503632076e-01 1.508618889358775839e+01
1.533097068663361373e+00 9.910979646685997579e+01 9.083747706909358621e-01 1.508905584400084976e+01
1.625761432763348058e+00 9.966982170746616987e+01 9.981039599871386336e-01 1.507260009434935810e+01
1.537358508125599599e+00 1.006659164636625547e+02 1.080451275595782024e+00 1.499354359939582793e+01
1.557373165815628013e+00 1.010866634746010675e+02 1.133793160558515645e+00 1.501345831048232071e+01
1.523309452906457917e+00 1.000536375221603862e+02 9.011339841978290854e-01 1.500879792148775138e+01
1.611452827276226518e+00 1.010030417299221455e+02 1.082009218232639292e+00 1.501740458730008854e+01
1.528100425746387714e+00 9.960405929762542598e+01 1.022530931942094767e+00 1.512816794317157765e+01
1.568550647014294253e+00 1.008575192698059197e+02 1.125430793090788528e+00 1.506545899055503313e+01
1.532004051186214300e+00 1.001279234352394951e+02 1.050891763746206298e+00 1.496288466647444793e+01
1.664012353181109960e+00 9.909342728193350069e+01 8.869482526465959360e-01 1.509722533954531976e+01
1.568783755830595705e+00 9.927466681548582983e+01 8.821313945634905451e-01 1.513658816307800237e+01
